                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1126,                0.68343,                0.99266,                0.76145,                 0.6373,                0.70385,                 0.4251,                 1.2338,                0.75857,                 1.0364,               0.006634,               0.006634,               0.006634
                     36,                 1.1153,                0.68781,                0.99162,                0.75375,                0.64603,                0.70681,                0.42833,                 1.2232,                0.76192,                 1.0277,               0.006535,               0.006535,               0.006535
                     37,                 1.1149,                0.68452,                 0.9942,                 0.7708,                0.63601,                0.71083,                 0.4266,                 1.2316,                0.75677,                  1.034,               0.006436,               0.006436,               0.006436
                     38,                 1.1018,                0.67941,                0.99007,                0.77189,                0.64366,                0.71325,                0.42928,                 1.2273,                0.75609,                 1.0327,               0.006337,               0.006337,               0.006337
                     39,                 1.1015,                0.67926,                0.99035,                0.78327,                0.63373,                0.71339,                0.43298,                 1.2217,                0.75195,                 1.0321,               0.006238,               0.006238,               0.006238
                     40,                 1.1009,                0.67455,                0.98868,                0.76692,                0.64189,                0.71499,                0.43137,                 1.2175,                0.74461,                 1.0284,               0.006139,               0.006139,               0.006139
                     41,                 1.0914,                0.67338,                 0.9879,                0.77344,                0.64369,                0.71392,                0.43123,                 1.2134,                0.74835,                 1.0294,                0.00604,                0.00604,                0.00604
                     42,                 1.0903,                0.67035,                 0.9868,                0.76592,                  0.644,                0.70852,                0.43235,                 1.2086,                0.74382,                 1.0267,               0.005941,               0.005941,               0.005941
                     43,                 1.0821,                0.66067,                0.98438,                0.76089,                0.64339,                0.71228,                0.43349,                 1.2139,                0.73939,                 1.0295,               0.005842,               0.005842,               0.005842
                     44,                 1.0758,                0.65825,                0.98186,                0.76801,                0.64787,                0.71361,                0.43441,                 1.2082,                0.73933,                 1.0267,               0.005743,               0.005743,               0.005743
                     45,                 1.0694,                0.65099,                0.97901,                0.76578,                0.64633,                0.71425,                0.43458,                 1.2085,                0.73298,                 1.0263,               0.005644,               0.005644,               0.005644
                     46,                 1.0788,                0.65743,                0.98297,                0.77391,                0.64061,                0.71395,                0.43537,                 1.2054,                0.73405,                 1.0255,               0.005545,               0.005545,               0.005545
                     47,                 1.0661,                0.65362,                 0.9798,                0.77149,                0.65293,                0.72144,                0.44084,                 1.2005,                0.72965,                  1.024,               0.005446,               0.005446,               0.005446
                     48,                 1.0682,                0.65017,                0.97746,                0.78837,                0.63542,                0.71753,                0.43777,                 1.1975,                0.72745,                  1.023,               0.005347,               0.005347,               0.005347
                     49,                 1.0615,                0.64757,                0.97735,                0.76848,                0.64938,                0.71959,                0.43772,                 1.2002,                0.72974,                 1.0234,               0.005248,               0.005248,               0.005248
