                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4968,                 1.2239,                 1.1617,                0.65776,                0.54412,                0.58447,                0.29919,                  1.488,                0.98547,                 1.1417,               0.070045,              0.0033284,              0.0033284
                      1,                 1.3911,                0.90869,                 1.1126,                0.68725,                0.58313,                0.62163,                 0.3196,                 1.4791,                0.96212,                 1.1468,               0.039979,              0.0065957,              0.0065957
                      2,                 1.4175,                0.93788,                 1.1285,                0.60983,                0.53488,                0.56581,                0.29894,                 1.5493,                 1.0819,                 1.2001,              0.0098469,              0.0097971,              0.0097971
                      3,                 1.4357,                0.94805,                 1.1442,                0.67271,                0.51593,                0.56665,                0.29948,                 1.5393,                   1.04,                  1.202,               0.009703,               0.009703,               0.009703
                      4,                 1.3642,                0.87489,                 1.1219,                0.71398,                0.54045,                0.61139,                0.33025,                 1.4598,                0.99663,                 1.1833,               0.009703,               0.009703,               0.009703
                      5,                 1.3188,                 0.8355,                 1.1091,                0.72625,                0.58124,                 0.6489,                0.36109,                 1.3913,                0.90856,                 1.1472,               0.009604,               0.009604,               0.009604
                      6,                 1.2747,                0.79909,                 1.0879,                0.74459,                0.59113,                0.65727,                0.36613,                 1.4058,                0.89554,                 1.1632,               0.009505,               0.009505,               0.009505
                      7,                 1.2384,                0.77272,                 1.0741,                0.75224,                0.62273,                0.68307,                0.39014,                 1.3333,                0.84889,                 1.1245,               0.009406,               0.009406,               0.009406
                      8,                 1.2043,                0.74301,                 1.0637,                0.73012,                0.62334,                0.67671,                0.39324,                 1.3113,                0.83424,                 1.1179,               0.009307,               0.009307,               0.009307
                      9,                 1.1827,                0.72659,                 1.0534,                  0.742,                0.63619,                0.69952,                  0.402,                 1.2999,                0.82494,                 1.1135,               0.009208,               0.009208,               0.009208
                     10,                 1.1634,                0.70682,                 1.0476,                0.73629,                 0.6313,                0.69784,                0.40486,                 1.2888,                0.79313,                 1.1125,               0.009109,               0.009109,               0.009109
                     11,                  1.144,                0.69375,                 1.0464,                  0.749,                0.63208,                0.70434,                0.41189,                 1.2823,                0.79039,                 1.1096,                0.00901,                0.00901,                0.00901
                     12,                 1.1249,                0.68276,                 1.0353,                0.76119,                0.63625,                  0.705,                0.41182,                 1.2738,                0.77838,                 1.1064,               0.008911,               0.008911,               0.008911
                     13,                 1.1175,                0.67332,                 1.0335,                0.74175,                0.64285,                 0.7031,                0.41789,                 1.2562,                0.76905,                 1.0922,               0.008812,               0.008812,               0.008812
                     14,                 1.1015,                0.66397,                 1.0275,                0.75894,                0.63183,                0.70542,                0.42035,                 1.2381,                0.76291,                 1.0867,               0.008713,               0.008713,               0.008713
                     15,                 1.0905,                0.65496,                 1.0234,                0.75868,                0.64886,                0.71402,                0.42848,                 1.2369,                0.74442,                 1.0923,               0.008614,               0.008614,               0.008614
                     16,                 1.0797,                0.64689,                  1.019,                0.75635,                0.64547,                0.71517,                0.42867,                 1.2305,                0.74425,                 1.0861,               0.008515,               0.008515,               0.008515
                     17,                 1.0705,                0.63983,                 1.0158,                0.75754,                0.65056,                0.71565,                0.43503,                 1.2144,                0.73867,                 1.0824,               0.008416,               0.008416,               0.008416
                     18,                 1.0584,                0.63328,                 1.0112,                0.77831,                0.64367,                0.72252,                0.43745,                 1.2132,                0.73378,                 1.0775,               0.008317,               0.008317,               0.008317
