                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0011,                 2.0526,                 1.5371,                0.55233,                0.25123,                0.21564,                0.06676,                 2.3895,                 1.8425,                 1.5575,               0.070036,              0.0033293,              0.0033293
                      1,                 1.8419,                 1.4187,                 1.4012,                0.68604,                0.31812,                 0.3445,                0.09037,                 2.2516,                 1.4813,                 1.4294,               0.039905,              0.0065307,              0.0065307
                      2,                 1.8104,                  1.324,                 1.3764,                 0.7572,                0.32879,                0.38517,                0.16181,                 2.0952,                 1.4504,                 1.3334,              0.0096407,              0.0096001,              0.0096001
                      3,                 1.7565,                 1.2332,                 1.3519,                0.69511,                0.31722,                0.31694,                0.10244,                 2.3835,                 1.5784,                 1.5002,               0.009406,               0.009406,               0.009406
                      4,                 1.6977,                 1.1446,                 1.3194,                0.79001,                0.40676,                0.45643,                0.17324,                 1.9491,                 1.2175,                 1.2793,               0.009406,               0.009406,               0.009406
                      5,                  1.643,                 1.0752,                 1.2901,                0.82429,                0.42139,                0.45458,                0.16817,                 2.3302,                 1.2998,                 1.4658,               0.009208,               0.009208,               0.009208
                      6,                 1.6073,                 1.0286,                 1.2705,                0.82871,                0.45693,                0.51527,                0.18911,                 2.1567,                 1.1794,                 1.3597,                0.00901,                0.00901,                0.00901
                      7,                 1.5735,                0.99105,                 1.2552,                0.69959,                0.48888,                0.50734,                0.19644,                 2.0472,                 1.1878,                 1.3281,               0.008812,               0.008812,               0.008812
                      8,                 1.5427,                0.95733,                 1.2389,                0.69883,                0.49624,                0.51628,                0.17613,                    2.3,                 1.2466,                 1.4474,               0.008614,               0.008614,               0.008614
                      9,                 1.5163,                0.93092,                 1.2239,                0.64691,                0.46052,                0.49862,                0.16785,                 2.3595,                 1.2206,                 1.4681,               0.008416,               0.008416,               0.008416
                     10,                 1.5055,                 0.9175,                  1.221,                0.78395,                0.45372,                0.53304,                0.19848,                 2.1939,                 1.1086,                 1.3651,               0.008218,               0.008218,               0.008218
                     11,                 1.4815,                0.89396,                 1.2084,                0.67276,                0.52275,                0.54866,                0.18379,                 2.2346,                 1.1169,                 1.4084,                0.00802,                0.00802,                0.00802
                     12,                 1.4667,                0.88208,                 1.1999,                 0.6297,                0.48577,                0.50384,                0.17842,                 2.2039,                 1.2243,                 1.3896,               0.007822,               0.007822,               0.007822
                     13,                 1.4545,                0.86529,                  1.194,                0.64833,                 0.5086,                0.55274,                0.18297,                 2.1887,                 1.1029,                 1.3821,               0.007624,               0.007624,               0.007624
                     14,                 1.4395,                0.85259,                 1.1853,                0.77154,                0.52647,                0.58846,                0.24199,                 1.9682,                 1.0886,                 1.2649,               0.007426,               0.007426,               0.007426
